Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
08/07/2026,AplPay LIRR ETIX TIC718-217-5477        NY,33.00,"MRF3DWKS5WD LIRR ETIX TICKET
AplPay LIRR ETIX TICKET
718-217-5477
NY
LIRR ETIX TICKET",AplPay LIRR ETIX TIC718-217-5477        NY,"146-01 ARCHER AVE
ATTN REVENUE DEPT","JAMAICA
NY",11435,UNITED STATES,'320262200417320764',Transportation-Rail Services
08/07/2026,AplPay MONTAUK BEER MONTAUK             NY,2.86,"73011756219 MAMONTAUKBEV@YAHOO.CO
MAMONTAUKBEV@YAHOO.COM
AplPay MONTAUK BEER & SODA 403903000164382
MONTAUK
NY
MAMONTAUKBEV@YAHOO.COM",AplPay MONTAUK BEER MONTAUK             NY,43 SOUTH ELMWOOD AVE,"MONTAUK
NY",11954-5420,UNITED STATES,'320262200429065871',Merchandise & Supplies-Groceries
08/06/2026,AplPay BROOKLYN FARENEW YORK            NY,14.44,"999999962182122169700
GROCERY STORES
AplPay BROOKLYN FARE #1922 000001922
NEW YORK
NY
GROCERY STORES
2122169700",AplPay BROOKLYN FARENEW YORK            NY,431 WEST 37TH ST,"NEW YORK
NY",10018-4292,UNITED STATES,'320262180344214157',Merchandise & Supplies-Groceries
08/05/2026,SCALLYWAGS          NEW YORK            NY,42.29,"85183536218        USFC2WALK10018
SCALLYWAGS
NEW YORK
NY
USFC2WALK10018",SCALLYWAGS          NEW YORK            NY,508 9TH AVE,"NEW YORK
NY",10018,UNITED STATES,'320262180343655253',Restaurant-Restaurant
08/04/2026,AMAZON.COM          AMZN.COM/BILL       WA,25.14,"3BSV6971F5K BOOK STORES
AMAZON.COM
AMZN.COM/BILL
WA
BOOK STORES",AMAZON.COM          AMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320262170332880589',Merchandise & Supplies-Internet Purchase
08/04/2026,HERCULES CORP MOBILEHICKSVILLE          NY,30.00,"73011756217 JEANNINE.REDDING@HERC
JEANNINE.REDDING@HERCNET.
HERCULES CORP MOBILE 750800467200130
HICKSVILLE
NY
JEANNINE.REDDING@HERCNET.",HERCULES CORP MOBILEHICKSVILLE          NY,550 WEST JOHN ST,"HICKSVILLE
NY",11801-1039,UNITED STATES,'320262170313967095',Business Services-Professional Services
08/03/2026,AUTOPAY PAYMENT - THANK YOU,-2494.31,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320262150251960186',
08/02/2026,AMAZON MARKEPLACE NA PA,18.39,"4D2WV6C47B2 MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320262160302472213',Merchandise & Supplies-Internet Purchase
08/02/2026,AMAZON MARKEPLACE NA PA,87.09,"1NESU2EKD74 MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320262150273493650',Merchandise & Supplies-Internet Purchase
08/02/2026,AMAZON.COM          AMZN.COM/BILL       WA,130.64,"29FK864AH03 BOOK STORES
AMAZON.COM
AMZN.COM/BILL
WA
BOOK STORES",AMAZON.COM          AMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320262160288697971',Merchandise & Supplies-Internet Purchase
